ID,Phase,Session,Accelerator Name,What It Is,Type,Category,Built By,When Needed,Needs Client Input?,Approval Required?,Approved By,Status,Notes
A01,Pre-Workshop,Client Artifacts,Plant Performance Report (90 days),"OEE / downtime / scrap rate / on-time delivery for last 90 days. Becomes the Day 1 performance baseline.",Report,Client Provides,Client,7 business days before Day 1,Yes,No,,To Request,Anonymized version acceptable. Plant Manager or Ops Head provides.
A02,Pre-Workshop,Client Artifacts,System Landscape Document,"Names and versions of ERP / MES / CMMS / Historian / middleware in use.",Document,Client Provides,Client IT Lead,7 business days before Day 1,Yes,No,,To Request,Version numbers required where known.
A03,Pre-Workshop,Client Artifacts,Operational Org Chart,"Plant Manager / department leads / decision-making layer. Not the full company org chart.",Org Chart,Client Provides,Workshop Coordinator,7 business days before Day 1,Yes,No,,To Request,Decision-making layer only.
A04,Pre-Workshop,Client Artifacts,Sample Plant Manager Reports or Dashboards,"Shift reports / daily OEE summaries / MRP exception reports / downtime logs the Plant Manager uses today.",Sample,Client Provides,Plant Manager,7 business days before Day 1,Yes,No,,To Request,Any format available.
A05,Pre-Workshop,Client Artifacts,Data Dictionary or Catalogue,"Existing data documentation - even partial or outdated versions are useful.",Document,Client Provides,IT or OT Lead,7 business days before Day 1,Yes,No,,To Request,Optional. Provide if it exists.
A06,Pre-Workshop,Client Artifacts,MRP Exception Report or Downtime Log Sample,"Last 30 days of MRP exception messages or downtime records.",Report,Client Provides,Finance Lead or Planning Lead,7 business days before Day 1,Yes,No,,To Request,Anonymized if required by security policy.
A07,Pre-Workshop,Client Artifacts,In-Flight Analytics or AI Initiative Documentation,"Any existing AI / analytics / digital plant initiative docs in progress.",Document,Client Provides,Workshop Coordinator,7 business days before Day 1,Yes,No,,To Request,Prevents IBM from proposing scope already in flight.
A08,Pre-Workshop,Pre-Work Templates,Baseline Metrics Snapshot Template,"Fillable template for current OEE / downtime rate / scrap rate / on-time delivery and any other tracked KPIs.",Template,IBM Pre-Builds,IBM Workshop Lead,10 business days before Day 1,Yes - client fills,Yes,IBM Workshop Lead,To Build,Sent to Plant Manager or Process Engineer. Used in Day 1 S2 and Day 4 S1.
A09,Pre-Workshop,Pre-Work Templates,Plant Vocabulary Register Template,"Fillable list of abbreviations / local codes / terms used by shift or line.",Template,IBM Pre-Builds,IBM Workshop Lead,10 business days before Day 1,Yes - client fills,Yes,IBM Workshop Lead,To Build,Sent to Plant Manager or Production Supervisor. Used throughout Days 4 and 5.
A10,Pre-Workshop,Pre-Work Templates,System Inventory Template,"Fillable table: system name / vendor / version / deployment model / primary IT contact / integration docs link.",Template,IBM Pre-Builds,IBM Workshop Lead,10 business days before Day 1,Yes - client fills,Yes,IBM Workshop Lead,To Build,Sent to IT or OT Lead. Used in Day 3 S3.
A11,Pre-Workshop,Pre-Work Templates,Stakeholder Availability Matrix,"Named availability per session per day for all required participants.",Matrix,IBM Pre-Builds,IBM Workshop Lead,10 business days before Day 1,Yes - client fills,No,,To Build,Sent to Workshop Coordinator. Flags scheduling conflicts before Day 1.
